[      0.00] WORKER2  | INIT      | INFO    | Worker2 starting (P2P port 9102)
[      0.00] WORKER2  | INIT      | INFO    | P2P server listening on 0.0.0.0:9102
[      0.00] WORKER2  | CONNECT   | SUCCESS | Connected to Master at 13.61.180.113:9000
[      2.00] WORKER2  | CONNECT   | INFO    | Received peer list: 3 peers
[      2.00] WORKER2  | INIT      | SUCCESS | Received START signal. Beginning processing.
[      2.00] WORKER2  | RECV      | INFO    | Task 0002 received (key=fb74, queue:1/10)
[      3.31] WORKER2  | RECV      | INFO    | Task 0006 received (key=e1a2, queue:1/10)
[      3.31] WORKER2  | RECV      | INFO    | Task 0010 received (key=48b4, queue:2/10)
[      3.31] WORKER2  | PROC      | SUCCESS | Task 0002 SUCCESS (proc=1.31s, wait=0.00s)
[      3.31] WORKER2  | RECV      | INFO    | Task 0014 received (key=5b85, queue:3/10)
[      3.31] WORKER2  | RECV      | INFO    | Task 0018 received (key=3758, queue:4/10)
[      3.31] WORKER2  | RECV      | INFO    | Task 0022 received (key=5216, queue:5/10)
[      3.31] WORKER2  | RECV      | INFO    | Task 0026 received (key=9742, queue:6/10)
[      3.31] WORKER2  | RECV      | INFO    | Task 0030 received (key=9844, queue:7/10)
[      3.31] WORKER2  | QUEUE     | WARN    | Queue over 70%: 8/10 (after push)
[      3.31] WORKER2  | RECV      | INFO    | Task 0034 received (key=8043, queue:8/10)
[      3.31] WORKER2  | QUEUE     | WARN    | Queue over 70%: 9/10 (after push)
[      3.31] WORKER2  | RECV      | INFO    | Task 0038 received (key=d8e4, queue:9/10)
[      3.31] WORKER2  | QUEUE     | WARN    | Queue over 70%: 8/10 (after pop)
[      6.03] WORKER2  | PROC      | SUCCESS | Task 0006 SUCCESS (proc=2.72s, wait=0.00s)
[      6.03] WORKER2  | LB        | INFO    | P2P query from Worker1, replied queue_size=8
[      6.03] WORKER2  | LB        | INFO    | Expected wait 16.0s > 15.0s, querying peers...
[      6.63] WORKER2  | LB        | INFO    | No transfer needed (my=8, target Worker3=8)
[      8.30] WORKER2  | PROC      | SUCCESS | Task 0010 SUCCESS (proc=1.67s, wait=3.32s)
[     10.80] WORKER2  | PROC      | SUCCESS | Task 0014 SUCCESS (proc=2.50s, wait=4.99s)
[     13.28] WORKER2  | PROC      | FAIL    | Task 0018 FAIL (proc=2.48s, wait=7.49s)
[     14.41] WORKER2  | PROC      | SUCCESS | Task 0022 SUCCESS (proc=1.13s, wait=9.97s)
[     14.41] WORKER2  | LB        | INFO    | P2P query from Worker3, replied queue_size=4
[     14.41] WORKER2  | LB        | INFO    | P2P query from Worker4, replied queue_size=4
[     14.81] WORKER2  | LB        | INFO    | P2P transfer from Worker3: accepted=2 rejected=0
[     17.68] WORKER2  | PROC      | FAIL    | Task 0026 FAIL (proc=2.87s, wait=11.49s)
[     18.95] WORKER2  | PROC      | SUCCESS | Task 0030 SUCCESS (proc=1.28s, wait=14.37s)
[     18.95] WORKER2  | LB        | INFO    | P2P transfer from Worker1: accepted=1 rejected=0
[     21.95] WORKER2  | PROC      | SUCCESS | Task 0034 SUCCESS (proc=3.00s, wait=15.64s)
[     21.95] WORKER2  | LB        | INFO    | P2P transfer from Worker4: accepted=2 rejected=0
[     24.01] WORKER2  | PROC      | FAIL    | Task 0038 FAIL (proc=2.06s, wait=18.64s)
[     26.64] WORKER2  | PROC      | SUCCESS | Task 0039 SUCCESS (proc=2.62s, wait=9.21s)
[     29.08] WORKER2  | PROC      | SUCCESS | Task 0035 SUCCESS (proc=2.44s, wait=11.83s)
[     30.69] WORKER2  | PROC      | SUCCESS | Task 0037 SUCCESS (proc=1.61s, wait=10.12s)
[     33.35] WORKER2  | PROC      | SUCCESS | Task 0040 SUCCESS (proc=2.66s, wait=8.74s)
[     35.03] WORKER2  | PROC      | SUCCESS | Task 0036 SUCCESS (proc=1.68s, wait=11.40s)
[     35.03] WORKER2  | RECV      | INFO    | Task 0041 received (key=017b, queue:1/10)
[     36.50] WORKER2  | PROC      | FAIL    | Task 0041 FAIL (proc=1.47s, wait=0.00s)
[     36.50] WORKER2  | RECV      | INFO    | Task 0018 received (key=3758, queue:1/10) [RETRY #1]
[     38.44] WORKER2  | PROC      | SUCCESS | Task 0018 SUCCESS (proc=1.94s, wait=0.00s)
[     38.44] WORKER2  | RECV      | INFO    | Task 0026 received (key=9742, queue:1/10) [RETRY #1]
[     38.44] WORKER2  | RECV      | INFO    | Task 0038 received (key=d8e4, queue:2/10) [RETRY #1]
[     38.44] WORKER2  | RECV      | INFO    | Task 0044 received (key=4ae2, queue:3/10)
[     38.44] WORKER2  | RECV      | INFO    | Task 0045 received (key=8dad, queue:4/10)
[     38.44] WORKER2  | RECV      | INFO    | Task 0046 received (key=2ea1, queue:5/10)
[     38.44] WORKER2  | RECV      | INFO    | Task 0047 received (key=e8f6, queue:6/10)
[     38.44] WORKER2  | RECV      | INFO    | Task 0048 received (key=2cbc, queue:7/10)
[     38.44] WORKER2  | QUEUE     | WARN    | Queue over 70%: 8/10 (after push)
[     38.44] WORKER2  | RECV      | INFO    | Task 0049 received (key=6ea0, queue:8/10)
[     38.44] WORKER2  | LB        | INFO    | Expected wait 16.0s > 15.0s, querying peers...
[     39.86] WORKER2  | LB        | INFO    | Transferring 4 task(s) to Worker1
[     40.06] WORKER2  | LB        | SUCCESS | P2P transfer done: 4 to Worker1, 0 rejected
[     41.70] WORKER2  | PROC      | SUCCESS | Task 0026 SUCCESS (proc=1.64s, wait=1.63s)
[     44.52] WORKER2  | PROC      | SUCCESS | Task 0038 SUCCESS (proc=2.82s, wait=3.26s)
[     47.46] WORKER2  | PROC      | SUCCESS | Task 0044 SUCCESS (proc=2.94s, wait=6.08s)
[     48.98] WORKER2  | PROC      | SUCCESS | Task 0045 SUCCESS (proc=1.52s, wait=9.03s)
[     48.98] WORKER2  | RECV      | INFO    | Task 0050 received (key=3256, queue:1/10)
[     51.55] WORKER2  | PROC      | SUCCESS | Task 0050 SUCCESS (proc=2.57s, wait=0.00s)
[     51.55] WORKER2  | RECV      | INFO    | Task 0051 received (key=f6b5, queue:1/10)
[     51.55] WORKER2  | RECV      | INFO    | Task 0052 received (key=7fe3, queue:2/10)
[     51.55] WORKER2  | RECV      | INFO    | Task 0053 received (key=7cdc, queue:3/10)
[     51.55] WORKER2  | RECV      | INFO    | Task 0054 received (key=eb40, queue:4/10)
[     53.11] WORKER2  | PROC      | SUCCESS | Task 0051 SUCCESS (proc=1.56s, wait=0.00s)
[     54.96] WORKER2  | PROC      | SUCCESS | Task 0052 SUCCESS (proc=1.85s, wait=1.56s)
[     56.30] WORKER2  | PROC      | SUCCESS | Task 0053 SUCCESS (proc=1.34s, wait=3.41s)
[     57.93] WORKER2  | PROC      | FAIL    | Task 0054 FAIL (proc=1.63s, wait=4.75s)
[     57.93] WORKER2  | RECV      | INFO    | Task 0082 received (key=4d9d, queue:1/10)
[     57.93] WORKER2  | RECV      | INFO    | Task 0083 received (key=d2b7, queue:2/10)
[     60.22] WORKER2  | PROC      | SUCCESS | Task 0082 SUCCESS (proc=2.29s, wait=0.00s)
[     60.22] WORKER2  | RECV      | INFO    | Task 0084 received (key=1ebf, queue:2/10)
[     60.22] WORKER2  | RECV      | INFO    | Task 0085 received (key=abee, queue:3/10)
[     60.22] WORKER2  | RECV      | INFO    | Task 0086 received (key=7e40, queue:4/10)
[     61.93] WORKER2  | PROC      | SUCCESS | Task 0083 SUCCESS (proc=1.70s, wait=2.29s)
