[      0.00] WORKER1  | INIT      | INFO    | Worker1 starting (P2P port 9101)
[      0.00] WORKER1  | INIT      | INFO    | P2P server listening on 0.0.0.0:9101
[      0.00] WORKER1  | CONNECT   | SUCCESS | Connected to Master at 13.61.180.113:9000
[      2.00] WORKER1  | CONNECT   | INFO    | Received peer list: 3 peers
[      2.00] WORKER1  | INIT      | SUCCESS | Received START signal. Beginning processing.
[      2.00] WORKER1  | RECV      | INFO    | Task 0001 received (key=9458, queue:1/10)
[      2.00] WORKER1  | RECV      | INFO    | Task 0005 received (key=d944, queue:2/10)
[      3.75] WORKER1  | PROC      | FAIL    | Task 0001 FAIL (proc=1.75s, wait=0.00s)
[      3.75] WORKER1  | RECV      | INFO    | Task 0009 received (key=d20d, queue:2/10)
[      3.75] WORKER1  | RECV      | INFO    | Task 0013 received (key=09f2, queue:3/10)
[      3.75] WORKER1  | RECV      | INFO    | Task 0017 received (key=7114, queue:4/10)
[      3.75] WORKER1  | RECV      | INFO    | Task 0021 received (key=a4fc, queue:5/10)
[      3.75] WORKER1  | RECV      | INFO    | Task 0025 received (key=0488, queue:6/10)
[      3.75] WORKER1  | RECV      | INFO    | Task 0029 received (key=65b7, queue:7/10)
[      3.75] WORKER1  | QUEUE     | WARN    | Queue over 70%: 8/10 (after push)
[      3.75] WORKER1  | RECV      | INFO    | Task 0033 received (key=000f, queue:8/10)
[      3.75] WORKER1  | QUEUE     | WARN    | Queue over 70%: 9/10 (after push)
[      3.75] WORKER1  | RECV      | INFO    | Task 0037 received (key=026e, queue:9/10)
[      3.75] WORKER1  | LB        | INFO    | Expected wait 18.0s > 15.0s, querying peers...
[      6.13] WORKER1  | LB        | INFO    | P2P query from Worker3, replied queue_size=9
[      6.13] WORKER1  | LB        | INFO    | P2P query from Worker2, replied queue_size=9
[      6.63] WORKER1  | LB        | INFO    | P2P query from Worker4, replied queue_size=9
[     14.81] WORKER1  | QUEUE     | WARN    | Queue over 70%: 8/10 (after p2p_out)
[     14.81] WORKER1  | LB        | INFO    | Transferring 1 task(s) to Worker2
[     19.05] WORKER1  | LB        | SUCCESS | P2P transfer done: 1 to Worker2, 0 rejected
[     21.16] WORKER1  | PROC      | SUCCESS | Task 0005 SUCCESS (proc=2.11s, wait=17.05s)
[     22.55] WORKER1  | PROC      | SUCCESS | Task 0009 SUCCESS (proc=1.38s, wait=17.41s)
[     24.63] WORKER1  | PROC      | SUCCESS | Task 0013 SUCCESS (proc=2.09s, wait=18.80s)
[     27.01] WORKER1  | PROC      | SUCCESS | Task 0017 SUCCESS (proc=2.37s, wait=20.88s)
[     29.07] WORKER1  | PROC      | SUCCESS | Task 0021 SUCCESS (proc=2.06s, wait=23.26s)
[     31.12] WORKER1  | PROC      | SUCCESS | Task 0025 SUCCESS (proc=2.05s, wait=25.32s)
[     33.75] WORKER1  | PROC      | SUCCESS | Task 0029 SUCCESS (proc=2.64s, wait=27.37s)
[     35.04] WORKER1  | PROC      | SUCCESS | Task 0033 SUCCESS (proc=1.29s, wait=30.00s)
[     35.04] WORKER1  | RECV      | INFO    | Task 0001 received (key=9458, queue:1/10) [RETRY #1]
[     37.07] WORKER1  | PROC      | SUCCESS | Task 0001 SUCCESS (proc=2.02s, wait=0.00s)
[     37.07] WORKER1  | RECV      | INFO    | Task 0055 received (key=a512, queue:1/10)
[     39.36] WORKER1  | PROC      | SUCCESS | Task 0055 SUCCESS (proc=2.30s, wait=0.00s)
[     39.36] WORKER1  | LB        | INFO    | P2P query from Worker2, replied queue_size=0
[     41.73] WORKER1  | PROC      | SUCCESS | Task 0049 SUCCESS (proc=1.76s, wait=0.00s)
[     41.73] WORKER1  | LB        | INFO    | P2P transfer from Worker2: accepted=4 rejected=0
[     44.55] WORKER1  | PROC      | FAIL    | Task 0048 FAIL (proc=2.83s, wait=1.76s)
[     46.81] WORKER1  | PROC      | SUCCESS | Task 0047 SUCCESS (proc=2.26s, wait=4.59s)
[     48.81] WORKER1  | PROC      | SUCCESS | Task 0046 SUCCESS (proc=2.00s, wait=6.85s)
[     48.81] WORKER1  | RECV      | INFO    | Task 0056 received (key=95ee, queue:1/10)
[     48.81] WORKER1  | RECV      | INFO    | Task 0057 received (key=1446, queue:2/10)
[     48.81] WORKER1  | RECV      | INFO    | Task 0058 received (key=fdb7, queue:3/10)
[     48.81] WORKER1  | RECV      | INFO    | Task 0059 received (key=4fb1, queue:4/10)
[     50.46] WORKER1  | PROC      | SUCCESS | Task 0056 SUCCESS (proc=1.65s, wait=0.00s)
[     50.46] WORKER1  | RECV      | INFO    | Task 0060 received (key=07d1, queue:4/10)
[     50.46] WORKER1  | RECV      | INFO    | Task 0061 received (key=7422, queue:5/10)
[     50.46] WORKER1  | RECV      | INFO    | Task 0062 received (key=3069, queue:6/10)
[     50.46] WORKER1  | RECV      | INFO    | Task 0063 received (key=8c9e, queue:7/10)
[     51.89] WORKER1  | PROC      | SUCCESS | Task 0057 SUCCESS (proc=1.43s, wait=1.65s)
[     54.30] WORKER1  | PROC      | SUCCESS | Task 0058 SUCCESS (proc=2.40s, wait=3.08s)
[     56.25] WORKER1  | PROC      | SUCCESS | Task 0059 SUCCESS (proc=1.95s, wait=5.48s)
[     57.67] WORKER1  | PROC      | SUCCESS | Task 0060 SUCCESS (proc=1.42s, wait=5.79s)
[     59.67] WORKER1  | PROC      | SUCCESS | Task 0061 SUCCESS (proc=2.00s, wait=7.21s)
[     60.73] WORKER1  | PROC      | SUCCESS | Task 0062 SUCCESS (proc=1.06s, wait=9.21s)
[     61.88] WORKER1  | PROC      | SUCCESS | Task 0063 SUCCESS (proc=1.15s, wait=10.27s)
[     61.88] WORKER1  | RECV      | INFO    | Task 0041 received (key=017b, queue:1/10) [RETRY #1]
[     63.91] WORKER1  | PROC      | SUCCESS | Task 0041 SUCCESS (proc=2.03s, wait=0.00s)
[     63.91] WORKER1  | RECV      | INFO    | Task 0048 received (key=2cbc, queue:1/10) [RETRY #1]
[     65.09] WORKER1  | PROC      | FAIL    | Task 0048 FAIL (proc=1.18s, wait=0.00s)
[     65.09] WORKER1  | RECV      | INFO    | Task 0093 received (key=6c7f, queue:1/10)
[     66.71] WORKER1  | PROC      | SUCCESS | Task 0093 SUCCESS (proc=1.61s, wait=0.00s)
[     66.71] WORKER1  | RECV      | INFO    | Task 0094 received (key=0f7b, queue:1/10)
[     66.71] WORKER1  | RECV      | INFO    | Task 0095 received (key=d7bf, queue:2/10)
[     66.71] WORKER1  | RECV      | INFO    | Task 0096 received (key=58b0, queue:3/10)
[     66.71] WORKER1  | RECV      | INFO    | Task 0097 received (key=49e1, queue:4/10)
[     66.71] WORKER1  | RECV      | INFO    | Task 0098 received (key=3824, queue:5/10)
[     66.71] WORKER1  | RECV      | INFO    | Task 0099 received (key=d4b0, queue:6/10)
[     66.71] WORKER1  | RECV      | INFO    | Task 0100 received (key=8e3d, queue:7/10)
[     68.50] WORKER1  | PROC      | FAIL    | Task 0094 FAIL (proc=1.79s, wait=0.00s)
[     70.02] WORKER1  | PROC      | FAIL    | Task 0095 FAIL (proc=1.51s, wait=1.79s)
[     72.21] WORKER1  | PROC      | SUCCESS | Task 0096 SUCCESS (proc=2.20s, wait=3.31s)
[     75.00] WORKER1  | PROC      | SUCCESS | Task 0097 SUCCESS (proc=2.78s, wait=5.51s)
[     77.43] WORKER1  | PROC      | SUCCESS | Task 0098 SUCCESS (proc=2.43s, wait=8.29s)
[     78.75] WORKER1  | PROC      | SUCCESS | Task 0099 SUCCESS (proc=1.32s, wait=10.72s)
[     81.06] WORKER1  | PROC      | FAIL    | Task 0100 FAIL (proc=2.32s, wait=12.04s)
[     81.06] WORKER1  | RECV      | INFO    | Task 0117 received (key=8b65, queue:1/10)
[     83.74] WORKER1  | PROC      | FAIL    | Task 0117 FAIL (proc=2.68s, wait=0.00s)
[     83.74] WORKER1  | RECV      | INFO    | Task 0048 received (key=2cbc, queue:1/10) [RETRY #2]
[     86.51] WORKER1  | PROC      | SUCCESS | Task 0048 SUCCESS (proc=2.76s, wait=0.00s)
[     86.51] WORKER1  | RECV      | INFO    | Task 0094 received (key=0f7b, queue:1/10) [RETRY #1]
[     89.36] WORKER1  | PROC      | SUCCESS | Task 0094 SUCCESS (proc=2.85s, wait=0.00s)
[     89.36] WORKER1  | RECV      | INFO    | Task 0100 received (key=8e3d, queue:1/10) [RETRY #1]
[     89.36] WORKER1  | RECV      | INFO    | Task 0106 received (key=13ba, queue:2/10) [RETRY #1]
[     89.36] WORKER1  | RECV      | INFO    | Task 0126 received (key=ab9a, queue:3/10)
[     89.36] WORKER1  | RECV      | INFO    | Task 0128 received (key=b3e4, queue:4/10)
[     89.36] WORKER1  | RECV      | INFO    | Task 0130 received (key=0528, queue:5/10)
[     89.36] WORKER1  | RECV      | INFO    | Task 0132 received (key=d29e, queue:6/10)
[     89.36] WORKER1  | RECV      | INFO    | Task 0134 received (key=5f9a, queue:7/10)
[     91.10] WORKER1  | PROC      | SUCCESS | Task 0100 SUCCESS (proc=1.75s, wait=0.00s)
[     93.27] WORKER1  | PROC      | SUCCESS | Task 0106 SUCCESS (proc=2.17s, wait=1.75s)
[     95.16] WORKER1  | PROC      | SUCCESS | Task 0126 SUCCESS (proc=1.89s, wait=3.91s)
[     96.41] WORKER1  | PROC      | FAIL    | Task 0128 FAIL (proc=1.25s, wait=5.81s)
[     97.87] WORKER1  | PROC      | SUCCESS | Task 0130 SUCCESS (proc=1.46s, wait=7.05s)
[     99.97] WORKER1  | PROC      | SUCCESS | Task 0132 SUCCESS (proc=2.10s, wait=8.52s)
[    101.03] WORKER1  | PROC      | SUCCESS | Task 0134 SUCCESS (proc=1.06s, wait=10.62s)
[    101.03] WORKER1  | RECV      | INFO    | Task 0117 received (key=8b65, queue:1/10) [RETRY #1]
[    104.01] WORKER1  | PROC      | SUCCESS | Task 0117 SUCCESS (proc=2.98s, wait=0.00s)
[    104.01] WORKER1  | RECV      | INFO    | Task 0151 received (key=4880, queue:1/10)
[    105.50] WORKER1  | PROC      | FAIL    | Task 0151 FAIL (proc=1.49s, wait=0.00s)
[    105.50] WORKER1  | RECV      | INFO    | Task 0128 received (key=b3e4, queue:1/10) [RETRY #1]
[    108.25] WORKER1  | PROC      | SUCCESS | Task 0128 SUCCESS (proc=2.74s, wait=0.00s)
[    108.25] WORKER1  | RECV      | INFO    | Task 0163 received (key=688c, queue:1/10)
[    108.25] WORKER1  | RECV      | INFO    | Task 0164 received (key=f351, queue:2/10)
[    108.25] WORKER1  | RECV      | INFO    | Task 0165 received (key=6869, queue:3/10)
[    108.25] WORKER1  | RECV      | INFO    | Task 0166 received (key=9197, queue:4/10)
[    108.25] WORKER1  | RECV      | INFO    | Task 0167 received (key=f470, queue:5/10)
[    108.25] WORKER1  | RECV      | INFO    | Task 0168 received (key=118a, queue:6/10)
[    108.25] WORKER1  | RECV      | INFO    | Task 0169 received (key=b732, queue:7/10)
[    109.78] WORKER1  | PROC      | FAIL    | Task 0163 FAIL (proc=1.53s, wait=0.00s)
[    112.69] WORKER1  | PROC      | SUCCESS | Task 0164 SUCCESS (proc=2.92s, wait=1.53s)
[    114.43] WORKER1  | PROC      | SUCCESS | Task 0165 SUCCESS (proc=1.74s, wait=4.45s)
[    115.97] WORKER1  | PROC      | SUCCESS | Task 0166 SUCCESS (proc=1.54s, wait=6.19s)
[    118.85] WORKER1  | PROC      | FAIL    | Task 0167 FAIL (proc=2.88s, wait=7.73s)
[    120.72] WORKER1  | PROC      | SUCCESS | Task 0168 SUCCESS (proc=1.87s, wait=10.61s)
[    122.35] WORKER1  | PROC      | SUCCESS | Task 0169 SUCCESS (proc=1.63s, wait=12.48s)
