[      0.00] WORKER4  | INIT      | INFO    | Worker4 starting (P2P port 9104)
[      0.00] WORKER4  | INIT      | INFO    | P2P server listening on 0.0.0.0:9104
[      0.00] WORKER4  | CONNECT   | SUCCESS | Connected to Master at 13.61.180.113:9000
[      2.00] WORKER4  | CONNECT   | INFO    | Received peer list: 3 peers
[      2.00] WORKER4  | INIT      | SUCCESS | Received START signal. Beginning processing.
[      2.00] WORKER4  | RECV      | INFO    | Task 0004 received (key=c45f, queue:1/10)
[      3.53] WORKER4  | PROC      | SUCCESS | Task 0004 SUCCESS (proc=1.53s, wait=0.00s)
[      3.53] WORKER4  | RECV      | INFO    | Task 0008 received (key=f4be, queue:1/10)
[      3.53] WORKER4  | RECV      | INFO    | Task 0012 received (key=6a25, queue:2/10)
[      3.53] WORKER4  | RECV      | INFO    | Task 0016 received (key=ebcd, queue:3/10)
[      3.53] WORKER4  | RECV      | INFO    | Task 0020 received (key=1870, queue:4/10)
[      3.53] WORKER4  | RECV      | INFO    | Task 0024 received (key=bae1, queue:5/10)
[      3.53] WORKER4  | RECV      | INFO    | Task 0028 received (key=aaad, queue:6/10)
[      3.53] WORKER4  | RECV      | INFO    | Task 0032 received (key=42f1, queue:7/10)
[      3.53] WORKER4  | QUEUE     | WARN    | Queue over 70%: 8/10 (after push)
[      3.53] WORKER4  | RECV      | INFO    | Task 0036 received (key=5911, queue:8/10)
[      3.53] WORKER4  | QUEUE     | WARN    | Queue over 70%: 9/10 (after push)
[      3.53] WORKER4  | RECV      | INFO    | Task 0040 received (key=d660, queue:9/10)
[      3.53] WORKER4  | QUEUE     | WARN    | Queue over 70%: 8/10 (after pop)
[      6.13] WORKER4  | PROC      | SUCCESS | Task 0008 SUCCESS (proc=2.60s, wait=0.00s)
[      6.13] WORKER4  | LB        | INFO    | Expected wait 16.0s > 15.0s, querying peers...
[      6.53] WORKER4  | LB        | INFO    | P2P query from Worker2, replied queue_size=8
[     14.71] WORKER4  | LB        | INFO    | P2P query from Worker3, replied queue_size=8
[     14.71] WORKER4  | LB        | INFO    | P2P query from Worker1, replied queue_size=8
[     20.34] WORKER4  | LB        | INFO    | Transferring 2 task(s) to Worker2
[     22.05] WORKER4  | LB        | SUCCESS | P2P transfer done: 2 to Worker2, 0 rejected
[     23.46] WORKER4  | PROC      | SUCCESS | Task 0012 SUCCESS (proc=1.41s, wait=18.52s)
[     25.21] WORKER4  | PROC      | SUCCESS | Task 0016 SUCCESS (proc=1.75s, wait=19.93s)
[     26.78] WORKER4  | PROC      | SUCCESS | Task 0020 SUCCESS (proc=1.58s, wait=21.68s)
[     28.78] WORKER4  | PROC      | SUCCESS | Task 0024 SUCCESS (proc=2.00s, wait=23.26s)
[     31.46] WORKER4  | PROC      | SUCCESS | Task 0028 SUCCESS (proc=2.67s, wait=25.26s)
[     34.00] WORKER4  | PROC      | SUCCESS | Task 0032 SUCCESS (proc=2.54s, wait=27.93s)
[     34.00] WORKER4  | RECV      | INFO    | Task 0043 received (key=39e0, queue:1/10)
[     36.12] WORKER4  | PROC      | FAIL    | Task 0043 FAIL (proc=2.12s, wait=0.00s)
[     37.04] WORKER4  | RECV      | INFO    | Task 0072 received (key=3433, queue:1/10)
[     38.54] WORKER4  | PROC      | SUCCESS | Task 0072 SUCCESS (proc=1.49s, wait=0.00s)
[     39.76] WORKER4  | LB        | INFO    | P2P query from Worker2, replied queue_size=0
[     39.76] WORKER4  | RECV      | INFO    | Task 0073 received (key=998a, queue:1/10)
[     41.88] WORKER4  | PROC      | SUCCESS | Task 0073 SUCCESS (proc=2.11s, wait=0.00s)
[     41.88] WORKER4  | RECV      | INFO    | Task 0074 received (key=76ab, queue:1/10)
[     41.88] WORKER4  | RECV      | INFO    | Task 0075 received (key=08f8, queue:2/10)
[     41.88] WORKER4  | RECV      | INFO    | Task 0076 received (key=fdc4, queue:3/10)
[     41.88] WORKER4  | RECV      | INFO    | Task 0077 received (key=0b8f, queue:4/10)
[     41.88] WORKER4  | RECV      | INFO    | Task 0078 received (key=5f0d, queue:5/10)
[     41.88] WORKER4  | RECV      | INFO    | Task 0079 received (key=34a0, queue:6/10)
[     41.88] WORKER4  | RECV      | INFO    | Task 0080 received (key=995c, queue:7/10)
[     43.87] WORKER4  | PROC      | SUCCESS | Task 0074 SUCCESS (proc=1.99s, wait=0.00s)
[     45.05] WORKER4  | PROC      | FAIL    | Task 0075 FAIL (proc=1.18s, wait=1.99s)
[     46.46] WORKER4  | PROC      | SUCCESS | Task 0076 SUCCESS (proc=1.41s, wait=3.17s)
[     48.67] WORKER4  | PROC      | FAIL    | Task 0077 FAIL (proc=2.21s, wait=4.58s)
[     50.69] WORKER4  | PROC      | SUCCESS | Task 0078 SUCCESS (proc=2.02s, wait=6.79s)
[     51.98] WORKER4  | PROC      | SUCCESS | Task 0079 SUCCESS (proc=1.29s, wait=8.81s)
[     54.40] WORKER4  | PROC      | FAIL    | Task 0080 FAIL (proc=2.42s, wait=10.10s)
[     54.40] WORKER4  | RECV      | INFO    | Task 0043 received (key=39e0, queue:1/10) [RETRY #1]
[     56.09] WORKER4  | PROC      | SUCCESS | Task 0043 SUCCESS (proc=1.69s, wait=0.00s)
[     56.09] WORKER4  | RECV      | INFO    | Task 0088 received (key=4b7d, queue:1/10)
[     58.86] WORKER4  | PROC      | SUCCESS | Task 0088 SUCCESS (proc=2.78s, wait=0.00s)
[     63.88] WORKER4  | RECV      | INFO    | Task 0075 received (key=08f8, queue:1/10) [RETRY #1]
[     66.35] WORKER4  | PROC      | SUCCESS | Task 0075 SUCCESS (proc=2.47s, wait=0.00s)
[     66.35] WORKER4  | RECV      | INFO    | Task 0077 received (key=0b8f, queue:1/10) [RETRY #1]
[     66.35] WORKER4  | RECV      | INFO    | Task 0080 received (key=995c, queue:2/10) [RETRY #1]
[     66.35] WORKER4  | RECV      | INFO    | Task 0108 received (key=45ef, queue:3/10)
[     66.35] WORKER4  | RECV      | INFO    | Task 0109 received (key=d317, queue:4/10)
[     66.35] WORKER4  | RECV      | INFO    | Task 0110 received (key=86c4, queue:5/10)
[     66.35] WORKER4  | RECV      | INFO    | Task 0111 received (key=ec52, queue:6/10)
[     66.35] WORKER4  | RECV      | INFO    | Task 0112 received (key=7440, queue:7/10)
[     68.33] WORKER4  | PROC      | SUCCESS | Task 0077 SUCCESS (proc=1.98s, wait=0.00s)
[     69.45] WORKER4  | PROC      | SUCCESS | Task 0080 SUCCESS (proc=1.11s, wait=1.98s)
[     71.74] WORKER4  | PROC      | SUCCESS | Task 0108 SUCCESS (proc=2.29s, wait=3.09s)
[     73.67] WORKER4  | PROC      | FAIL    | Task 0109 FAIL (proc=1.93s, wait=5.39s)
[     76.37] WORKER4  | PROC      | SUCCESS | Task 0110 SUCCESS (proc=2.70s, wait=7.32s)
[     77.56] WORKER4  | PROC      | SUCCESS | Task 0111 SUCCESS (proc=1.18s, wait=10.02s)
[     78.65] WORKER4  | PROC      | SUCCESS | Task 0112 SUCCESS (proc=1.09s, wait=11.21s)
[     78.65] WORKER4  | RECV      | INFO    | Task 0119 received (key=0ce9, queue:1/10)
[     80.09] WORKER4  | PROC      | SUCCESS | Task 0119 SUCCESS (proc=1.44s, wait=0.00s)
[     80.09] WORKER4  | RECV      | INFO    | Task 0122 received (key=5425, queue:1/10)
[     81.69] WORKER4  | PROC      | FAIL    | Task 0122 FAIL (proc=1.61s, wait=0.00s)
[     83.06] WORKER4  | RECV      | INFO    | Task 0109 received (key=d317, queue:1/10) [RETRY #1]
[     85.02] WORKER4  | RECV      | INFO    | Task 0136 received (key=8a77, queue:1/10)
