[     67.06] WORKER3  | PROC      | SUCCESS | Task 0073 SUCCESS (proc=2.85s, wait=2.73s)
[     69.76] WORKER3  | PROC      | SUCCESS | Task 0075 SUCCESS (proc=2.70s, wait=5.58s)
[     71.40] WORKER3  | LB        | INFO    | P2P query from Worker2, replied queue_size=0
[     71.40] WORKER3  | RECV      | INFO    | Task 0047 received (key=df45, queue:1/10) [RETRY #1]
[     74.36] WORKER3  | PROC      | SUCCESS | Task 0047 SUCCESS (proc=2.96s, wait=0.00s)
[     74.36] WORKER3  | RECV      | INFO    | Task 0080 received (key=1697, queue:1/10)
[     74.36] WORKER3  | RECV      | INFO    | Task 0083 received (key=4da4, queue:2/10)
[     74.36] WORKER3  | RECV      | INFO    | Task 0087 received (key=bd99, queue:3/10)
[     74.36] WORKER3  | RECV      | INFO    | Task 0058 received (key=65e7, queue:4/10) [RETRY #1]
[     74.36] WORKER3  | RECV      | INFO    | Task 0061 received (key=5c66, queue:5/10) [RETRY #1]
[     74.36] WORKER3  | RECV      | INFO    | Task 0063 received (key=22c2, queue:6/10) [RETRY #1]
[     74.36] WORKER3  | RECV      | INFO    | Task 0092 received (key=043c, queue:7/10)
[     74.36] WORKER3  | QUEUE     | WARN    | Queue over 70%: 8/10 (after push)
[     74.36] WORKER3  | RECV      | INFO    | Task 0094 received (key=81ed, queue:8/10)
[     74.36] WORKER3  | LB        | INFO    | Expected wait 16.0s > 15.0s, querying peers...
[     87.90] WORKER3  | LB        | INFO    | Transferring 4 task(s) to Worker2
[     88.10] WORKER3  | LB        | SUCCESS | P2P transfer done: 4 to Worker2, 0 rejected
[     89.30] WORKER3  | PROC      | SUCCESS | Task 0080 SUCCESS (proc=1.20s, wait=13.75s)
[     91.89] WORKER3  | PROC      | FAIL    | Task 0083 FAIL (proc=2.59s, wait=14.94s)
[     94.78] WORKER3  | PROC      | SUCCESS | Task 0087 SUCCESS (proc=2.89s, wait=17.53s)
[     96.89] WORKER3  | PROC      | SUCCESS | Task 0058 SUCCESS (proc=2.10s, wait=20.43s)
[     96.89] WORKER3  | RECV      | INFO    | Task 0103 received (key=aecf, queue:1/10)
[     99.87] WORKER3  | RECV      | INFO    | Task 0104 received (key=f7bb, queue:1/10)
[     99.87] WORKER3  | RECV      | INFO    | Task 0106 received (key=98ca, queue:2/10)
[     99.87] WORKER3  | PROC      | FAIL    | Task 0103 FAIL (proc=2.99s, wait=0.00s)
[     99.87] WORKER3  | RECV      | INFO    | Task 0107 received (key=48bc, queue:3/10)
[    100.94] WORKER3  | PROC      | SUCCESS | Task 0104 SUCCESS (proc=1.07s, wait=0.00s)
[    103.61] WORKER3  | PROC      | FAIL    | Task 0106 FAIL (proc=2.67s, wait=1.07s)
[    105.06] WORKER3  | PROC      | SUCCESS | Task 0107 SUCCESS (proc=1.45s, wait=3.74s)
[    105.06] WORKER3  | RECV      | INFO    | Task 0115 received (key=2da1, queue:1/10)
[    107.04] WORKER3  | PROC      | SUCCESS | Task 0115 SUCCESS (proc=1.98s, wait=0.00s)
[    107.04] WORKER3  | RECV      | INFO    | Task 0123 received (key=48dd, queue:1/10)
[    107.04] WORKER3  | RECV      | INFO    | Task 0083 received (key=4da4, queue:2/10) [RETRY #1]
[    107.04] WORKER3  | RECV      | INFO    | Task 0126 received (key=47d2, queue:3/10)
[    107.04] WORKER3  | RECV      | INFO    | Task 0128 received (key=c056, queue:4/10)
[    110.00] WORKER3  | PROC      | SUCCESS | Task 0123 SUCCESS (proc=2.96s, wait=0.00s)
[    111.39] WORKER3  | PROC      | SUCCESS | Task 0083 SUCCESS (proc=1.39s, wait=2.96s)
[    112.73] WORKER3  | PROC      | SUCCESS | Task 0126 SUCCESS (proc=1.34s, wait=4.35s)
[    114.15] WORKER3  | PROC      | SUCCESS | Task 0128 SUCCESS (proc=1.42s, wait=5.69s)
[    114.15] WORKER3  | RECV      | INFO    | Task 0103 received (key=aecf, queue:1/10) [RETRY #1]
[    115.90] WORKER3  | PROC      | SUCCESS | Task 0103 SUCCESS (proc=1.75s, wait=0.00s)
[    115.90] WORKER3  | RECV      | INFO    | Task 0132 received (key=c568, queue:1/10)
[    115.90] WORKER3  | RECV      | INFO    | Task 0106 received (key=98ca, queue:2/10) [RETRY #1]
[    115.90] WORKER3  | RECV      | INFO    | Task 0135 received (key=be9a, queue:3/10)
[    117.97] WORKER3  | PROC      | FAIL    | Task 0132 FAIL (proc=2.07s, wait=0.00s)
[    120.46] WORKER3  | PROC      | SUCCESS | Task 0106 SUCCESS (proc=2.49s, wait=2.07s)
[    121.58] WORKER3  | PROC      | SUCCESS | Task 0135 SUCCESS (proc=1.13s, wait=4.56s)
[    121.58] WORKER3  | RECV      | INFO    | Task 0144 received (key=d802, queue:1/10)
[    121.58] WORKER3  | RECV      | INFO    | Task 0147 received (key=5693, queue:2/10)
[    123.50] WORKER3  | PROC      | SUCCESS | Task 0144 SUCCESS (proc=1.92s, wait=0.00s)
[    123.50] WORKER3  | RECV      | INFO    | Task 0150 received (key=0c74, queue:2/10)
[    123.50] WORKER3  | RECV      | INFO    | Task 0153 received (key=2af2, queue:3/10)
[    123.50] WORKER3  | RECV      | INFO    | Task 0156 received (key=57dc, queue:4/10)
[    125.85] WORKER3  | PROC      | SUCCESS | Task 0147 SUCCESS (proc=2.34s, wait=1.92s)
[    127.63] WORKER3  | PROC      | SUCCESS | Task 0150 SUCCESS (proc=1.78s, wait=2.34s)
[    129.49] WORKER3  | PROC      | SUCCESS | Task 0153 SUCCESS (proc=1.86s, wait=4.12s)
[    131.14] WORKER3  | PROC      | SUCCESS | Task 0156 SUCCESS (proc=1.66s, wait=5.98s)
[    131.14] WORKER3  | RECV      | INFO    | Task 0163 received (key=a641, queue:1/10)
[    133.65] WORKER3  | PROC      | SUCCESS | Task 0163 SUCCESS (proc=2.51s, wait=0.00s)
[    133.65] WORKER3  | RECV      | INFO    | Task 0132 received (key=c568, queue:1/10) [RETRY #1]
[    133.65] WORKER3  | RECV      | INFO    | Task 0168 received (key=ead9, queue:2/10)
[    133.65] WORKER3  | RECV      | INFO    | Task 0171 received (key=bde4, queue:3/10)
[    135.27] WORKER3  | PROC      | SUCCESS | Task 0132 SUCCESS (proc=1.62s, wait=0.00s)
[    138.03] WORKER3  | PROC      | SUCCESS | Task 0168 SUCCESS (proc=2.76s, wait=1.62s)
[    139.31] WORKER3  | PROC      | SUCCESS | Task 0171 SUCCESS (proc=1.28s, wait=4.37s)
[    139.31] WORKER3  | RECV      | INFO    | Task 0178 received (key=cf3f, queue:1/10)
[    140.94] WORKER3  | PROC      | SUCCESS | Task 0178 SUCCESS (proc=1.63s, wait=0.00s)
[    140.94] WORKER3  | RECV      | INFO    | Task 0181 received (key=04d8, queue:1/10)
[    140.94] WORKER3  | RECV      | INFO    | Task 0183 received (key=4c82, queue:2/10)
[    140.94] WORKER3  | RECV      | INFO    | Task 0186 received (key=6cca, queue:3/10)
[    140.94] WORKER3  | RECV      | INFO    | Task 0190 received (key=66a7, queue:4/10)
[    142.68] WORKER3  | PROC      | SUCCESS | Task 0181 SUCCESS (proc=1.75s, wait=0.00s)
[    144.78] WORKER3  | PROC      | SUCCESS | Task 0183 SUCCESS (proc=2.09s, wait=1.75s)
[    147.00] WORKER3  | PROC      | SUCCESS | Task 0186 SUCCESS (proc=2.23s, wait=3.84s)
[    148.33] WORKER3  | PROC      | SUCCESS | Task 0190 SUCCESS (proc=1.33s, wait=6.07s)
[    149.86] WORKER3  | RECV      | INFO    | Task 0199 received (key=48b7, queue:1/10)
[    149.86] WORKER3  | RECV      | INFO    | Task 0200 received (key=ba55, queue:2/10)
[    149.86] WORKER3  | RECV      | INFO    | Task 0201 received (key=950e, queue:3/10)
