[      0.00] WORKER1  | INIT      | INFO    | Worker1 starting (P2P port 9101)
[      0.00] WORKER1  | INIT      | INFO    | P2P server listening on 0.0.0.0:9101
[      0.00] WORKER1  | CONNECT   | SUCCESS | Connected to Master at 13.61.180.113:9000
[      2.00] WORKER1  | CONNECT   | INFO    | Received peer list: 3 peers
[      2.00] WORKER1  | INIT      | SUCCESS | Received START signal. Beginning processing.
[      2.00] WORKER1  | RECV      | INFO    | Task 0001 received (key=a61b, queue:1/10)
[      4.89] WORKER1  | PROC      | SUCCESS | Task 0001 SUCCESS (proc=2.89s, wait=0.00s)
[      4.89] WORKER1  | RECV      | INFO    | Task 0005 received (key=b574, queue:1/10)
[      6.64] WORKER1  | PROC      | SUCCESS | Task 0005 SUCCESS (proc=1.75s, wait=0.00s)
[      8.61] WORKER1  | PROC      | FAIL    | Task 0009 FAIL (proc=1.97s, wait=0.00s)
[      6.64] WORKER1  | RECV      | INFO    | Task 0009 received (key=ee6c, queue:1/10)
[      8.61] WORKER1  | RECV      | INFO    | Task 0013 received (key=d594, queue:1/10)
[     10.04] WORKER1  | PROC      | SUCCESS | Task 0013 SUCCESS (proc=1.43s, wait=0.00s)
[     10.04] WORKER1  | RECV      | INFO    | Task 0017 received (key=377e, queue:1/10)
[     12.79] WORKER1  | PROC      | SUCCESS | Task 0017 SUCCESS (proc=2.75s, wait=0.00s)
[     12.79] WORKER1  | RECV      | INFO    | Task 0021 received (key=6719, queue:1/10)
[     13.90] WORKER1  | PROC      | FAIL    | Task 0021 FAIL (proc=1.11s, wait=0.00s)
[     13.90] WORKER1  | RECV      | INFO    | Task 0025 received (key=21a8, queue:1/10)
[     15.24] WORKER1  | PROC      | SUCCESS | Task 0025 SUCCESS (proc=1.34s, wait=0.00s)
[     15.24] WORKER1  | RECV      | INFO    | Task 0029 received (key=d2e8, queue:1/10)
[     17.39] WORKER1  | PROC      | SUCCESS | Task 0029 SUCCESS (proc=2.15s, wait=0.00s)
[     17.39] WORKER1  | RECV      | INFO    | Task 0033 received (key=1396, queue:1/10)
[     18.97] WORKER1  | PROC      | SUCCESS | Task 0033 SUCCESS (proc=1.59s, wait=0.00s)
[     18.97] WORKER1  | RECV      | INFO    | Task 0037 received (key=fb51, queue:1/10)
[     21.08] WORKER1  | PROC      | FAIL    | Task 0037 FAIL (proc=2.10s, wait=0.00s)
[     21.08] WORKER1  | RECV      | INFO    | Task 0041 received (key=2b07, queue:1/10)
[     23.50] WORKER1  | PROC      | SUCCESS | Task 0041 SUCCESS (proc=2.42s, wait=0.00s)
[     29.00] WORKER1  | RECV      | INFO    | Task 0009 received (key=ee6c, queue:1/10) [RETRY #1]
[     30.66] WORKER1  | PROC      | SUCCESS | Task 0009 SUCCESS (proc=1.65s, wait=0.00s)
[     40.39] WORKER1  | LB        | INFO    | P2P query from Worker2, replied queue_size=0
[     46.93] WORKER1  | PROC      | SUCCESS | Task 0071 SUCCESS (proc=1.85s, wait=0.00s)
[     49.87] WORKER1  | PROC      | SUCCESS | Task 0067 SUCCESS (proc=2.94s, wait=1.85s)
[     46.93] WORKER1  | LB        | INFO    | P2P transfer from Worker2: accepted=2 rejected=0
[     49.87] WORKER1  | RECV      | INFO    | Task 0021 received (key=6719, queue:1/10) [RETRY #1]
[     51.03] WORKER1  | PROC      | SUCCESS | Task 0021 SUCCESS (proc=1.15s, wait=0.00s)
[     53.84] WORKER1  | PROC      | SUCCESS | Task 0037 SUCCESS (proc=2.81s, wait=0.00s)
[     51.03] WORKER1  | RECV      | INFO    | Task 0037 received (key=fb51, queue:1/10) [RETRY #1]
[     53.84] WORKER1  | RECV      | INFO    | Task 0056 received (key=56aa, queue:1/10)
[     55.78] WORKER1  | PROC      | SUCCESS | Task 0056 SUCCESS (proc=1.94s, wait=0.00s)
[     55.78] WORKER1  | RECV      | INFO    | Task 0057 received (key=c0c1, queue:1/10)
[     56.90] WORKER1  | PROC      | SUCCESS | Task 0057 SUCCESS (proc=1.12s, wait=0.00s)
[     56.90] WORKER1  | RECV      | INFO    | Task 0058 received (key=06dc, queue:1/10)
[     59.61] WORKER1  | PROC      | SUCCESS | Task 0058 SUCCESS (proc=2.71s, wait=0.00s)
[     59.61] WORKER1  | RECV      | INFO    | Task 0062 received (key=4b31, queue:1/10)
[     61.09] WORKER1  | PROC      | SUCCESS | Task 0062 SUCCESS (proc=1.49s, wait=0.00s)
[     61.09] WORKER1  | RECV      | INFO    | Task 0066 received (key=0ba0, queue:1/10)
[     63.90] WORKER1  | RECV      | INFO    | Task 0070 received (key=e8f6, queue:1/10)
[     63.90] WORKER1  | PROC      | FAIL    | Task 0066 FAIL (proc=2.80s, wait=0.00s)
[     66.50] WORKER1  | PROC      | SUCCESS | Task 0070 SUCCESS (proc=2.60s, wait=0.00s)
[     66.50] WORKER1  | RECV      | INFO    | Task 0076 received (key=577d, queue:1/10)
[     68.54] WORKER1  | PROC      | SUCCESS | Task 0076 SUCCESS (proc=2.04s, wait=0.00s)
[     68.54] WORKER1  | RECV      | INFO    | Task 0042 received (key=71be, queue:1/10) [RETRY #3]
[     71.06] WORKER1  | PROC      | SUCCESS | Task 0042 SUCCESS (proc=2.52s, wait=0.00s)
[     71.06] WORKER1  | RECV      | INFO    | Task 0091 received (key=d616, queue:1/10)
[     73.01] WORKER1  | PROC      | SUCCESS | Task 0091 SUCCESS (proc=1.95s, wait=0.00s)
[     73.01] WORKER1  | RECV      | INFO    | Task 0092 received (key=8307, queue:1/10)
[     74.26] WORKER1  | PROC      | SUCCESS | Task 0092 SUCCESS (proc=1.25s, wait=0.00s)
[     74.26] WORKER1  | RECV      | INFO    | Task 0066 received (key=0ba0, queue:1/10) [RETRY #1]
[     74.26] WORKER1  | RECV      | INFO    | Task 0100 received (key=0cf0, queue:2/10)
[     74.26] WORKER1  | RECV      | INFO    | Task 0101 received (key=7670, queue:3/10)
[     74.26] WORKER1  | RECV      | INFO    | Task 0102 received (key=cf37, queue:4/10)
[     74.26] WORKER1  | RECV      | INFO    | Task 0103 received (key=fb52, queue:5/10)
[     74.26] WORKER1  | RECV      | INFO    | Task 0104 received (key=7bb9, queue:6/10)
[     74.26] WORKER1  | RECV      | INFO    | Task 0107 received (key=af77, queue:7/10)
[     74.26] WORKER1  | QUEUE     | WARN    | Queue over 70%: 8/10 (after push)
[     74.26] WORKER1  | RECV      | INFO    | Task 0110 received (key=3140, queue:8/10)
[     76.93] WORKER1  | PROC      | FAIL    | Task 0066 FAIL (proc=2.67s, wait=0.00s)
[     76.93] WORKER1  | LB        | INFO    | Expected wait 14.0s > 6.0s, querying peers...
[     77.53] WORKER1  | LB        | INFO    | Transferring 3 task(s) to Worker2
[     77.73] WORKER1  | LB        | SUCCESS | P2P transfer done: 3 to Worker2, 0 rejected
[     80.28] WORKER1  | PROC      | FAIL    | Task 0100 FAIL (proc=2.55s, wait=3.47s)
[     81.58] WORKER1  | PROC      | SUCCESS | Task 0101 SUCCESS (proc=1.30s, wait=6.02s)
[     82.98] WORKER1  | PROC      | SUCCESS | Task 0102 SUCCESS (proc=1.40s, wait=7.32s)
[     85.01] WORKER1  | PROC      | SUCCESS | Task 0103 SUCCESS (proc=2.03s, wait=8.72s)
[     85.01] WORKER1  | RECV      | INFO    | Task 0116 received (key=443f, queue:1/10)
[     86.19] WORKER1  | PROC      | SUCCESS | Task 0116 SUCCESS (proc=1.18s, wait=0.00s)
[     86.19] WORKER1  | RECV      | INFO    | Task 0130 received (key=531e, queue:1/10)
[     86.19] WORKER1  | RECV      | INFO    | Task 0131 received (key=8ff5, queue:2/10)
[     89.00] WORKER1  | PROC      | SUCCESS | Task 0130 SUCCESS (proc=2.81s, wait=0.00s)
[     90.24] WORKER1  | PROC      | FAIL    | Task 0131 FAIL (proc=1.24s, wait=2.81s)
[     90.24] WORKER1  | RECV      | INFO    | Task 0132 received (key=c109, queue:1/10)
[     92.50] WORKER1  | PROC      | SUCCESS | Task 0132 SUCCESS (proc=2.26s, wait=0.00s)
[     92.50] WORKER1  | RECV      | INFO    | Task 0066 received (key=0ba0, queue:1/10) [RETRY #2]
[     92.50] WORKER1  | RECV      | INFO    | Task 0100 received (key=0cf0, queue:2/10) [RETRY #1]
[     92.50] WORKER1  | RECV      | INFO    | Task 0142 received (key=7c78, queue:3/10)
[     95.08] WORKER1  | PROC      | SUCCESS | Task 0066 SUCCESS (proc=2.58s, wait=0.00s)
[     95.08] WORKER1  | RECV      | INFO    | Task 0143 received (key=df22, queue:3/10)
[     97.47] WORKER1  | PROC      | FAIL    | Task 0100 FAIL (proc=2.38s, wait=2.58s)
[     97.47] WORKER1  | RECV      | INFO    | Task 0144 received (key=681e, queue:3/10)
[    100.04] WORKER1  | PROC      | SUCCESS | Task 0142 SUCCESS (proc=2.57s, wait=4.97s)
[    102.53] WORKER1  | PROC      | FAIL    | Task 0143 FAIL (proc=2.49s, wait=4.95s)
[    104.71] WORKER1  | PROC      | SUCCESS | Task 0144 SUCCESS (proc=2.18s, wait=5.06s)
[    104.71] WORKER1  | RECV      | INFO    | Task 0148 received (key=f2f1, queue:1/10)
[    107.16] WORKER1  | PROC      | SUCCESS | Task 0148 SUCCESS (proc=2.45s, wait=0.00s)
[    107.16] WORKER1  | RECV      | INFO    | Task 0131 received (key=8ff5, queue:1/10) [RETRY #1]
[    110.14] WORKER1  | PROC      | SUCCESS | Task 0131 SUCCESS (proc=2.98s, wait=0.00s)
[    110.14] WORKER1  | RECV      | INFO    | Task 0160 received (key=b655, queue:1/10)
[    110.14] WORKER1  | RECV      | INFO    | Task 0165 received (key=65ed, queue:2/10)
[    111.84] WORKER1  | PROC      | FAIL    | Task 0160 FAIL (proc=1.69s, wait=0.00s)
[    114.65] WORKER1  | PROC      | SUCCESS | Task 0165 SUCCESS (proc=2.82s, wait=1.69s)
[    114.65] WORKER1  | RECV      | INFO    | Task 0100 received (key=0cf0, queue:1/10) [RETRY #2]
[    114.65] WORKER1  | RECV      | INFO    | Task 0143 received (key=df22, queue:2/10) [RETRY #1]
[    114.65] WORKER1  | RECV      | INFO    | Task 0172 received (key=2384, queue:3/10)
[    114.65] WORKER1  | RECV      | INFO    | Task 0173 received (key=d592, queue:4/10)
[    114.65] WORKER1  | RECV      | INFO    | Task 0174 received (key=6f32, queue:5/10)
[    117.06] WORKER1  | PROC      | SUCCESS | Task 0100 SUCCESS (proc=2.41s, wait=0.00s)
[    117.06] WORKER1  | LB        | INFO    | Expected wait 8.0s > 6.0s, querying peers...
[    128.71] WORKER1  | LB        | INFO    | Transferring 2 task(s) to Worker2
[    128.91] WORKER1  | LB        | SUCCESS | P2P transfer done: 2 to Worker2, 0 rejected
[    131.35] WORKER1  | PROC      | SUCCESS | Task 0143 SUCCESS (proc=2.45s, wait=14.26s)
[    132.97] WORKER1  | PROC      | SUCCESS | Task 0172 SUCCESS (proc=1.61s, wait=16.70s)
[    132.97] WORKER1  | RECV      | INFO    | Task 0181 received (key=1575, queue:1/10)
[    135.55] WORKER1  | PROC      | SUCCESS | Task 0181 SUCCESS (proc=2.58s, wait=0.00s)
[    135.55] WORKER1  | RECV      | INFO    | Task 0160 received (key=b655, queue:1/10) [RETRY #1]
[    137.76] WORKER1  | PROC      | FAIL    | Task 0160 FAIL (proc=2.21s, wait=0.00s)
[    137.76] WORKER1  | RECV      | INFO    | Task 0191 received (key=86dd, queue:1/10)
[    139.42] WORKER1  | PROC      | SUCCESS | Task 0191 SUCCESS (proc=1.66s, wait=0.00s)
[    139.42] WORKER1  | RECV      | INFO    | Task 0192 received (key=2607, queue:1/10)
[    141.12] WORKER1  | PROC      | SUCCESS | Task 0192 SUCCESS (proc=1.70s, wait=0.00s)
