[      0.00] WORKER4  | INIT      | INFO    | Worker4 starting (P2P port 9104)
[      0.00] WORKER4  | INIT      | INFO    | P2P server listening on 0.0.0.0:9104
[      0.00] WORKER4  | CONNECT   | SUCCESS | Connected to Master at 13.61.180.113:9000
[      2.00] WORKER4  | CONNECT   | INFO    | Received peer list: 3 peers
[      2.00] WORKER4  | INIT      | SUCCESS | Received START signal. Beginning processing.
[      2.00] WORKER4  | RECV      | INFO    | Task 0004 received (key=fb18, queue:1/10)
[      4.38] WORKER4  | PROC      | FAIL    | Task 0004 FAIL (proc=2.38s, wait=0.00s)
[      4.38] WORKER4  | RECV      | INFO    | Task 0008 received (key=2237, queue:1/10)
[      5.69] WORKER4  | PROC      | SUCCESS | Task 0008 SUCCESS (proc=1.31s, wait=0.00s)
[      7.16] WORKER4  | PROC      | SUCCESS | Task 0012 SUCCESS (proc=1.47s, wait=0.00s)
[      5.69] WORKER4  | RECV      | INFO    | Task 0012 received (key=651a, queue:1/10)
[      7.16] WORKER4  | RECV      | INFO    | Task 0016 received (key=5093, queue:1/10)
[      9.96] WORKER4  | PROC      | SUCCESS | Task 0016 SUCCESS (proc=2.80s, wait=0.00s)
[      9.96] WORKER4  | RECV      | INFO    | Task 0020 received (key=b44a, queue:1/10)
[     11.31] WORKER4  | PROC      | SUCCESS | Task 0020 SUCCESS (proc=1.35s, wait=0.00s)
[     11.31] WORKER4  | RECV      | INFO    | Task 0024 received (key=bf2d, queue:1/10)
[     13.46] WORKER4  | PROC      | SUCCESS | Task 0024 SUCCESS (proc=2.15s, wait=0.00s)
[     13.46] WORKER4  | RECV      | INFO    | Task 0028 received (key=e076, queue:1/10)
[     16.39] WORKER4  | PROC      | SUCCESS | Task 0028 SUCCESS (proc=2.93s, wait=0.00s)
[     16.39] WORKER4  | RECV      | INFO    | Task 0032 received (key=b5c8, queue:1/10)
[     18.82] WORKER4  | PROC      | SUCCESS | Task 0032 SUCCESS (proc=2.43s, wait=0.00s)
[     18.82] WORKER4  | RECV      | INFO    | Task 0036 received (key=4ae7, queue:1/10)
[     21.06] WORKER4  | PROC      | SUCCESS | Task 0036 SUCCESS (proc=2.24s, wait=0.00s)
[     21.06] WORKER4  | RECV      | INFO    | Task 0040 received (key=b97a, queue:1/10)
[     23.45] WORKER4  | PROC      | SUCCESS | Task 0040 SUCCESS (proc=2.39s, wait=0.00s)
[     23.89] WORKER4  | RECV      | INFO    | Task 0004 received (key=fb18, queue:1/10) [RETRY #1]
[     25.06] WORKER4  | PROC      | SUCCESS | Task 0004 SUCCESS (proc=1.17s, wait=0.00s)
[     25.45] WORKER4  | RECV      | INFO    | Task 0048 received (key=0de5, queue:1/10)
[     28.30] WORKER4  | PROC      | SUCCESS | Task 0048 SUCCESS (proc=2.85s, wait=0.00s)
[     28.30] WORKER4  | RECV      | INFO    | Task 0049 received (key=307f, queue:1/10)
[     30.47] WORKER4  | PROC      | SUCCESS | Task 0049 SUCCESS (proc=2.17s, wait=0.00s)
[     30.47] WORKER4  | RECV      | INFO    | Task 0050 received (key=5ff8, queue:1/10)
[     32.00] WORKER4  | PROC      | SUCCESS | Task 0050 SUCCESS (proc=1.53s, wait=0.00s)
[     34.14] WORKER4  | PROC      | SUCCESS | Task 0051 SUCCESS (proc=2.14s, wait=0.00s)
[     32.00] WORKER4  | RECV      | INFO    | Task 0051 received (key=31b2, queue:1/10)
[     34.14] WORKER4  | RECV      | INFO    | Task 0052 received (key=a36c, queue:1/10)
[     36.59] WORKER4  | PROC      | SUCCESS | Task 0052 SUCCESS (proc=2.45s, wait=0.00s)
[     36.59] WORKER4  | RECV      | INFO    | Task 0061 received (key=4656, queue:1/10)
[     38.87] WORKER4  | PROC      | SUCCESS | Task 0061 SUCCESS (proc=2.29s, wait=0.00s)
[     38.87] WORKER4  | RECV      | INFO    | Task 0065 received (key=e363, queue:1/10)
[     40.83] WORKER4  | PROC      | SUCCESS | Task 0065 SUCCESS (proc=1.96s, wait=0.00s)
[     40.83] WORKER4  | RECV      | INFO    | Task 0069 received (key=c9a2, queue:1/10)
[     43.44] WORKER4  | PROC      | SUCCESS | Task 0069 SUCCESS (proc=2.60s, wait=0.00s)
[     43.44] WORKER4  | RECV      | INFO    | Task 0073 received (key=d6ee, queue:1/10)
[     44.89] WORKER4  | PROC      | FAIL    | Task 0073 FAIL (proc=1.45s, wait=0.00s)
[     44.89] WORKER4  | LB        | INFO    | P2P query from Worker2, replied queue_size=0
[     44.89] WORKER4  | RECV      | INFO    | Task 0075 received (key=1b58, queue:1/10)
[     46.43] WORKER4  | PROC      | SUCCESS | Task 0075 SUCCESS (proc=1.54s, wait=0.00s)
[     46.89] WORKER4  | RECV      | INFO    | Task 0073 received (key=d6ee, queue:1/10) [RETRY #1]
[     48.30] WORKER4  | RECV      | INFO    | Task 0082 received (key=f0ba, queue:1/10)
[     48.30] WORKER4  | RECV      | INFO    | Task 0083 received (key=f2e1, queue:2/10)
[     48.30] WORKER4  | PROC      | SUCCESS | Task 0073 SUCCESS (proc=1.41s, wait=0.00s)
[     48.30] WORKER4  | RECV      | INFO    | Task 0084 received (key=8cb2, queue:3/10)
[     50.31] WORKER4  | PROC      | SUCCESS | Task 0082 SUCCESS (proc=2.01s, wait=0.00s)
[     52.28] WORKER4  | PROC      | SUCCESS | Task 0083 SUCCESS (proc=1.97s, wait=2.01s)
[     53.88] WORKER4  | PROC      | SUCCESS | Task 0084 SUCCESS (proc=1.60s, wait=3.97s)
[     53.88] WORKER4  | RECV      | INFO    | Task 0085 received (key=da3e, queue:1/10)
[     53.88] WORKER4  | RECV      | INFO    | Task 0094 received (key=aa4c, queue:2/10)
[     53.88] WORKER4  | RECV      | INFO    | Task 0096 received (key=b0a3, queue:3/10)
[     53.88] WORKER4  | RECV      | INFO    | Task 0098 received (key=99b7, queue:4/10)
[     55.95] WORKER4  | PROC      | SUCCESS | Task 0085 SUCCESS (proc=2.07s, wait=0.00s)
[     58.79] WORKER4  | PROC      | SUCCESS | Task 0094 SUCCESS (proc=2.85s, wait=2.07s)
[     60.62] WORKER4  | PROC      | FAIL    | Task 0096 FAIL (proc=1.82s, wait=4.92s)
[     62.16] WORKER4  | PROC      | SUCCESS | Task 0098 SUCCESS (proc=1.55s, wait=6.74s)
[     68.50] WORKER4  | RECV      | INFO    | Task 0106 received (key=0ebc, queue:1/10)
[     70.64] WORKER4  | PROC      | SUCCESS | Task 0106 SUCCESS (proc=2.14s, wait=0.00s)
[     70.64] WORKER4  | RECV      | INFO    | Task 0109 received (key=f8b3, queue:1/10)
[     73.39] WORKER4  | PROC      | SUCCESS | Task 0109 SUCCESS (proc=2.75s, wait=0.00s)
[     77.43] WORKER4  | LB        | INFO    | P2P query from Worker1, replied queue_size=0
[     77.43] WORKER4  | RECV      | INFO    | Task 0112 received (key=90ff, queue:1/10)
[     80.09] WORKER4  | PROC      | SUCCESS | Task 0112 SUCCESS (proc=2.66s, wait=0.00s)
[     80.09] WORKER4  | RECV      | INFO    | Task 0096 received (key=b0a3, queue:1/10) [RETRY #1]
[     80.09] WORKER4  | RECV      | INFO    | Task 0117 received (key=2d76, queue:2/10)
[     82.29] WORKER4  | PROC      | SUCCESS | Task 0096 SUCCESS (proc=2.20s, wait=0.00s)
[     82.29] WORKER4  | RECV      | INFO    | Task 0122 received (key=926b, queue:2/10)
[     83.72] WORKER4  | RECV      | INFO    | Task 0124 received (key=a856, queue:2/10)
[     83.72] WORKER4  | PROC      | SUCCESS | Task 0117 SUCCESS (proc=1.44s, wait=2.20s)
