[      0.00] WORKER3  | INIT      | INFO    | Worker3 starting (P2P port 9103)
[      0.00] WORKER3  | INIT      | INFO    | P2P server listening on 0.0.0.0:9103
[      0.00] WORKER3  | CONNECT   | SUCCESS | Connected to Master at 13.61.180.113:9000
[      2.00] WORKER3  | CONNECT   | INFO    | Received peer list: 3 peers
[      2.00] WORKER3  | INIT      | SUCCESS | Received START signal. Beginning processing.
[      2.00] WORKER3  | RECV      | INFO    | Task 0012 received (key=18fa, queue:1/10)
[      4.63] WORKER3  | PROC      | SUCCESS | Task 0012 SUCCESS (proc=2.63s, wait=0.00s)
[      4.63] WORKER3  | RECV      | INFO    | Task 0015 received (key=5aba, queue:1/10)
[      4.63] WORKER3  | RECV      | INFO    | Task 0018 received (key=15a1, queue:2/10)
[      4.63] WORKER3  | RECV      | INFO    | Task 0021 received (key=dd09, queue:3/10)
[      4.63] WORKER3  | RECV      | INFO    | Task 0024 received (key=81df, queue:4/10)
[      4.63] WORKER3  | RECV      | INFO    | Task 0027 received (key=67f6, queue:5/10)
[      4.63] WORKER3  | RECV      | INFO    | Task 0030 received (key=7f90, queue:6/10)
[      4.63] WORKER3  | RECV      | INFO    | Task 0033 received (key=862e, queue:7/10)
[      4.63] WORKER3  | QUEUE     | WARN    | Queue over 70%: 8/10 (after push)
[      4.63] WORKER3  | RECV      | INFO    | Task 0036 received (key=32b5, queue:8/10)
[      4.63] WORKER3  | QUEUE     | WARN    | Queue over 70%: 9/10 (after push)
[      4.63] WORKER3  | RECV      | INFO    | Task 0039 received (key=6006, queue:9/10)
[      4.63] WORKER3  | QUEUE     | WARN    | Queue over 70%: 8/10 (after pop)
[      7.51] WORKER3  | PROC      | SUCCESS | Task 0015 SUCCESS (proc=2.88s, wait=0.00s)
[      7.51] WORKER3  | LB        | INFO    | P2P query from Worker2, replied queue_size=8
[      7.91] WORKER3  | QUEUE     | WARN    | Queue over 70%: 9/10 (after push)
[      7.91] WORKER3  | LB        | INFO    | Expected wait 18.0s > 15.0s, querying peers...
[      7.91] WORKER3  | LB        | INFO    | P2P transfer from Worker2: accepted=1 rejected=0
[     10.21] WORKER3  | LB        | INFO    | P2P query from Worker1, replied queue_size=9
[     10.41] WORKER3  | QUEUE     | WARN    | Queue over 70%: 8/10 (after p2p_out)
[     10.41] WORKER3  | LB        | INFO    | Transferring 1 task(s) to Worker2
[     10.61] WORKER3  | LB        | SUCCESS | P2P transfer done: 1 to Worker2, 0 rejected
[     12.78] WORKER3  | PROC      | SUCCESS | Task 0018 SUCCESS (proc=2.17s, wait=5.98s)
[     14.33] WORKER3  | PROC      | SUCCESS | Task 0021 SUCCESS (proc=1.55s, wait=8.15s)
[     16.47] WORKER3  | PROC      | FAIL    | Task 0024 FAIL (proc=2.14s, wait=9.70s)
[     16.47] WORKER3  | LB        | INFO    | P2P query from Worker2, replied queue_size=5
[     17.80] WORKER3  | PROC      | SUCCESS | Task 0027 SUCCESS (proc=1.32s, wait=11.84s)
[     17.80] WORKER3  | LB        | INFO    | P2P query from Worker4, replied queue_size=4
[     18.00] WORKER3  | LB        | INFO    | P2P transfer from Worker4: accepted=2 rejected=0
[     20.07] WORKER3  | PROC      | SUCCESS | Task 0030 SUCCESS (proc=2.08s, wait=13.37s)
[     22.04] WORKER3  | PROC      | FAIL    | Task 0033 FAIL (proc=1.96s, wait=15.45s)
[     22.04] WORKER3  | LB        | INFO    | P2P transfer from Worker2: accepted=2 rejected=0
[     23.53] WORKER3  | PROC      | FAIL    | Task 0036 FAIL (proc=1.49s, wait=17.41s)
[     25.23] WORKER3  | PROC      | SUCCESS | Task 0039 SUCCESS (proc=1.70s, wait=18.90s)
[     26.24] WORKER3  | PROC      | SUCCESS | Task 0040 SUCCESS (proc=1.01s, wait=7.24s)
[     27.38] WORKER3  | PROC      | SUCCESS | Task 0037 SUCCESS (proc=1.14s, wait=8.24s)
[     29.85] WORKER3  | PROC      | FAIL    | Task 0010 FAIL (proc=2.47s, wait=7.30s)
[     31.03] WORKER3  | PROC      | SUCCESS | Task 0038 SUCCESS (proc=1.18s, wait=9.77s)
[     31.03] WORKER3  | RECV      | INFO    | Task 0041 received (key=2672, queue:1/10)
[     34.01] WORKER3  | PROC      | FAIL    | Task 0041 FAIL (proc=2.98s, wait=0.00s)
[     34.01] WORKER3  | RECV      | INFO    | Task 0024 received (key=81df, queue:1/10) [RETRY #1]
[     36.60] WORKER3  | PROC      | SUCCESS | Task 0024 SUCCESS (proc=2.59s, wait=0.00s)
[     36.60] WORKER3  | RECV      | INFO    | Task 0033 received (key=862e, queue:1/10) [RETRY #1]
[     36.60] WORKER3  | RECV      | INFO    | Task 0036 received (key=32b5, queue:2/10) [RETRY #1]
[     36.60] WORKER3  | RECV      | INFO    | Task 0043 received (key=8a5d, queue:3/10)
[     36.60] WORKER3  | RECV      | INFO    | Task 0044 received (key=6c3d, queue:4/10)
[     36.60] WORKER3  | RECV      | INFO    | Task 0045 received (key=c382, queue:5/10)
[     36.60] WORKER3  | RECV      | INFO    | Task 0046 received (key=9c57, queue:6/10)
[     36.60] WORKER3  | RECV      | INFO    | Task 0047 received (key=6b01, queue:7/10)
[     36.60] WORKER3  | QUEUE     | WARN    | Queue over 70%: 8/10 (after push)
[     36.60] WORKER3  | RECV      | INFO    | Task 0048 received (key=b190, queue:8/10)
[     36.60] WORKER3  | LB        | INFO    | Expected wait 16.0s > 15.0s, querying peers...
[     56.87] WORKER3  | LB        | INFO    | Transferring 4 task(s) to Worker1
[     57.07] WORKER3  | LB        | SUCCESS | P2P transfer done: 4 to Worker1, 0 rejected
[     60.07] WORKER3  | PROC      | FAIL    | Task 0033 FAIL (proc=3.00s, wait=20.47s)
[     62.91] WORKER3  | PROC      | SUCCESS | Task 0036 SUCCESS (proc=2.84s, wait=23.47s)
[     64.30] WORKER3  | PROC      | SUCCESS | Task 0043 SUCCESS (proc=1.39s, wait=26.31s)
[     65.78] WORKER3  | PROC      | SUCCESS | Task 0044 SUCCESS (proc=1.48s, wait=27.70s)
[     65.78] WORKER3  | RECV      | INFO    | Task 0010 received (key=4f82, queue:1/10) [RETRY #1]
[     68.63] WORKER3  | PROC      | SUCCESS | Task 0010 SUCCESS (proc=2.85s, wait=0.00s)
[     68.63] WORKER3  | RECV      | INFO    | Task 0056 received (key=4cc5, queue:1/10)
[     68.63] WORKER3  | RECV      | INFO    | Task 0057 received (key=8283, queue:2/10)
[     68.63] WORKER3  | RECV      | INFO    | Task 0058 received (key=101b, queue:3/10)
[     68.63] WORKER3  | RECV      | INFO    | Task 0041 received (key=2672, queue:4/10) [RETRY #1]
[     71.41] WORKER3  | PROC      | SUCCESS | Task 0056 SUCCESS (proc=2.77s, wait=0.00s)
[     73.26] WORKER3  | PROC      | SUCCESS | Task 0057 SUCCESS (proc=1.85s, wait=2.77s)
[     75.08] WORKER3  | PROC      | SUCCESS | Task 0058 SUCCESS (proc=1.82s, wait=4.63s)
[     77.31] WORKER3  | PROC      | SUCCESS | Task 0041 SUCCESS (proc=2.24s, wait=6.45s)
[     77.31] WORKER3  | RECV      | INFO    | Task 0033 received (key=862e, queue:1/10) [RETRY #2]
[     80.05] WORKER3  | PROC      | SUCCESS | Task 0033 SUCCESS (proc=2.74s, wait=0.00s)
[     80.05] WORKER3  | RECV      | INFO    | Task 0081 received (key=d55f, queue:1/10)
[     80.05] WORKER3  | RECV      | INFO    | Task 0082 received (key=64de, queue:2/10)
[     80.05] WORKER3  | RECV      | INFO    | Task 0083 received (key=341c, queue:3/10)
[     80.05] WORKER3  | RECV      | INFO    | Task 0084 received (key=74d4, queue:4/10)
[     81.37] WORKER3  | PROC      | FAIL    | Task 0081 FAIL (proc=1.32s, wait=0.00s)
[     82.38] WORKER3  | PROC      | SUCCESS | Task 0082 SUCCESS (proc=1.01s, wait=1.32s)
[     85.11] WORKER3  | PROC      | FAIL    | Task 0083 FAIL (proc=2.73s, wait=2.33s)
[     86.22] WORKER3  | PROC      | SUCCESS | Task 0084 SUCCESS (proc=1.11s, wait=5.06s)
[     86.22] WORKER3  | RECV      | INFO    | Task 0089 received (key=03f4, queue:1/10)
[     87.42] WORKER3  | PROC      | SUCCESS | Task 0089 SUCCESS (proc=1.19s, wait=0.00s)
[     87.42] WORKER3  | RECV      | INFO    | Task 0090 received (key=cf12, queue:1/10)
