[     82.67] WORKER2  | PROC      | SUCCESS | Task 0107 SUCCESS (proc=2.12s, wait=2.93s)
[     84.48] WORKER2  | PROC      | SUCCESS | Task 0104 SUCCESS (proc=1.81s, wait=5.04s)
[     84.48] WORKER2  | RECV      | INFO    | Task 0113 received (key=0bb2, queue:1/10)
[     85.87] WORKER2  | PROC      | SUCCESS | Task 0113 SUCCESS (proc=1.40s, wait=0.00s)
[     85.87] WORKER2  | RECV      | INFO    | Task 0088 received (key=9c46, queue:1/10) [RETRY #1]
[     85.87] WORKER2  | RECV      | INFO    | Task 0118 received (key=e20a, queue:2/10)
[     88.86] WORKER2  | PROC      | SUCCESS | Task 0088 SUCCESS (proc=2.99s, wait=0.00s)
[     88.86] WORKER2  | RECV      | INFO    | Task 0119 received (key=18eb, queue:2/10)
[     90.91] WORKER2  | PROC      | SUCCESS | Task 0118 SUCCESS (proc=2.04s, wait=2.99s)
[     93.70] WORKER2  | PROC      | SUCCESS | Task 0119 SUCCESS (proc=2.79s, wait=2.04s)
[     93.70] WORKER2  | RECV      | INFO    | Task 0120 received (key=7182, queue:1/10)
[     94.77] WORKER2  | PROC      | SUCCESS | Task 0120 SUCCESS (proc=1.07s, wait=0.00s)
[     94.77] WORKER2  | RECV      | INFO    | Task 0121 received (key=1684, queue:1/10)
[     97.49] WORKER2  | PROC      | SUCCESS | Task 0121 SUCCESS (proc=2.73s, wait=0.00s)
[     97.49] WORKER2  | RECV      | INFO    | Task 0110 received (key=3140, queue:1/10) [RETRY #1]
[     97.49] WORKER2  | RECV      | INFO    | Task 0135 received (key=7b6f, queue:2/10)
[     99.67] WORKER2  | PROC      | SUCCESS | Task 0110 SUCCESS (proc=2.18s, wait=0.00s)
[    102.00] WORKER2  | PROC      | FAIL    | Task 0135 FAIL (proc=2.33s, wait=2.18s)
[    103.58] WORKER2  | PROC      | SUCCESS | Task 0136 SUCCESS (proc=1.57s, wait=2.33s)
[     99.67] WORKER2  | RECV      | INFO    | Task 0136 received (key=6646, queue:2/10)
[    103.58] WORKER2  | RECV      | INFO    | Task 0137 received (key=7123, queue:1/10)
[    104.63] WORKER2  | PROC      | SUCCESS | Task 0137 SUCCESS (proc=1.05s, wait=0.00s)
[    104.63] WORKER2  | RECV      | INFO    | Task 0138 received (key=6aed, queue:1/10)
[    106.45] WORKER2  | PROC      | SUCCESS | Task 0138 SUCCESS (proc=1.83s, wait=0.00s)
[    106.45] WORKER2  | RECV      | INFO    | Task 0147 received (key=3345, queue:1/10)
[    108.95] WORKER2  | PROC      | SUCCESS | Task 0147 SUCCESS (proc=2.49s, wait=0.00s)
[    108.95] WORKER2  | RECV      | INFO    | Task 0151 received (key=1ebf, queue:1/10)
[    110.37] WORKER2  | PROC      | SUCCESS | Task 0151 SUCCESS (proc=1.42s, wait=0.00s)
[    110.37] WORKER2  | RECV      | INFO    | Task 0152 received (key=7a06, queue:1/10)
[    111.66] WORKER2  | PROC      | SUCCESS | Task 0152 SUCCESS (proc=1.29s, wait=0.00s)
[    113.54] WORKER2  | PROC      | SUCCESS | Task 0153 SUCCESS (proc=1.88s, wait=0.00s)
[    111.66] WORKER2  | RECV      | INFO    | Task 0153 received (key=0024, queue:1/10)
[    113.54] WORKER2  | RECV      | INFO    | Task 0154 received (key=74aa, queue:1/10)
[    115.57] WORKER2  | PROC      | SUCCESS | Task 0154 SUCCESS (proc=2.03s, wait=0.00s)
[    116.74] WORKER2  | PROC      | FAIL    | Task 0155 FAIL (proc=1.17s, wait=0.00s)
[    115.57] WORKER2  | RECV      | INFO    | Task 0155 received (key=03b7, queue:1/10)
[    116.74] WORKER2  | RECV      | INFO    | Task 0135 received (key=7b6f, queue:1/10) [RETRY #1]
[    118.79] WORKER2  | PROC      | SUCCESS | Task 0135 SUCCESS (proc=2.05s, wait=0.00s)
[    118.79] WORKER2  | RECV      | INFO    | Task 0167 received (key=6770, queue:1/10)
[    121.58] WORKER2  | PROC      | SUCCESS | Task 0167 SUCCESS (proc=2.80s, wait=0.00s)
[    121.58] WORKER2  | RECV      | INFO    | Task 0168 received (key=be38, queue:1/10)
[    122.93] WORKER2  | PROC      | SUCCESS | Task 0168 SUCCESS (proc=1.34s, wait=0.00s)
[    125.75] WORKER2  | PROC      | SUCCESS | Task 0169 SUCCESS (proc=2.82s, wait=0.00s)
[    122.93] WORKER2  | RECV      | INFO    | Task 0169 received (key=a6c7, queue:1/10)
[    125.75] WORKER2  | RECV      | INFO    | Task 0170 received (key=56ac, queue:1/10)
[    128.21] WORKER2  | PROC      | SUCCESS | Task 0170 SUCCESS (proc=2.45s, wait=0.00s)
[    128.21] WORKER2  | LB        | INFO    | P2P query from Worker1, replied queue_size=0
[    129.89] WORKER2  | PROC      | FAIL    | Task 0174 FAIL (proc=1.08s, wait=0.00s)
[    130.94] WORKER2  | PROC      | SUCCESS | Task 0173 SUCCESS (proc=1.05s, wait=1.08s)
[    130.94] WORKER2  | LB        | INFO    | P2P transfer from Worker1: accepted=2 rejected=0
[    130.94] WORKER2  | RECV      | INFO    | Task 0179 received (key=82db, queue:1/10)
[    132.38] WORKER2  | PROC      | SUCCESS | Task 0179 SUCCESS (proc=1.45s, wait=0.00s)
[    132.38] WORKER2  | RECV      | INFO    | Task 0155 received (key=03b7, queue:1/10) [RETRY #1]
[    135.08] WORKER2  | PROC      | FAIL    | Task 0155 FAIL (proc=2.70s, wait=0.00s)
[    135.08] WORKER2  | RECV      | INFO    | Task 0183 received (key=2c76, queue:1/10)
[    137.00] WORKER2  | PROC      | SUCCESS | Task 0183 SUCCESS (proc=1.92s, wait=0.00s)
[    137.00] WORKER2  | RECV      | INFO    | Task 0184 received (key=f1c7, queue:1/10)
[    139.54] WORKER2  | PROC      | SUCCESS | Task 0184 SUCCESS (proc=2.54s, wait=0.00s)
[    139.54] WORKER2  | RECV      | INFO    | Task 0185 received (key=19f5, queue:1/10)
[    141.02] WORKER2  | PROC      | SUCCESS | Task 0185 SUCCESS (proc=1.48s, wait=0.00s)
[    142.97] WORKER2  | PROC      | SUCCESS | Task 0186 SUCCESS (proc=1.95s, wait=0.00s)
[    141.02] WORKER2  | RECV      | INFO    | Task 0186 received (key=84ce, queue:1/10)
[    142.97] WORKER2  | RECV      | INFO    | Task 0174 received (key=6f32, queue:1/10) [RETRY #1]
[    145.93] WORKER2  | RECV      | INFO    | Task 0199 received (key=b870, queue:1/10)
[    145.93] WORKER2  | PROC      | SUCCESS | Task 0174 SUCCESS (proc=2.97s, wait=0.00s)
[    145.93] WORKER2  | RECV      | INFO    | Task 0200 received (key=63f7, queue:2/10)
[    147.10] WORKER2  | PROC      | SUCCESS | Task 0199 SUCCESS (proc=1.17s, wait=0.00s)
[    149.10] WORKER2  | PROC      | SUCCESS | Task 0200 SUCCESS (proc=1.99s, wait=1.17s)
[    149.10] WORKER2  | RECV      | INFO    | Task 0203 received (key=e589, queue:1/10)
[    149.10] WORKER2  | RECV      | INFO    | Task 0206 received (key=86c3, queue:2/10)
[    149.10] WORKER2  | RECV      | INFO    | Task 0209 received (key=3f4c, queue:3/10)
[    151.05] WORKER2  | PROC      | FAIL    | Task 0203 FAIL (proc=1.95s, wait=0.00s)
[    152.62] WORKER2  | PROC      | SUCCESS | Task 0206 SUCCESS (proc=1.57s, wait=1.95s)
[    154.02] WORKER2  | PROC      | SUCCESS | Task 0209 SUCCESS (proc=1.40s, wait=3.52s)
[    154.02] WORKER2  | RECV      | INFO    | Task 0182 received (key=41eb, queue:1/10) [RETRY #1]
[    155.75] WORKER2  | PROC      | SUCCESS | Task 0182 SUCCESS (proc=1.73s, wait=0.00s)
[    155.75] WORKER2  | RECV      | INFO    | Task 0193 received (key=e800, queue:1/10) [RETRY #1]
[    158.32] WORKER2  | PROC      | SUCCESS | Task 0193 SUCCESS (proc=2.57s, wait=0.00s)
[    158.32] WORKER2  | RECV      | INFO    | Task 0213 received (key=c8da, queue:1/10)
[    160.20] WORKER2  | PROC      | SUCCESS | Task 0213 SUCCESS (proc=1.88s, wait=0.00s)
[    160.20] WORKER2  | RECV      | INFO    | Task 0217 received (key=6e83, queue:1/10)
[    162.02] WORKER2  | PROC      | SUCCESS | Task 0217 SUCCESS (proc=1.82s, wait=0.00s)
[    162.02] WORKER2  | RECV      | INFO    | Task 0208 received (key=1b0c, queue:1/10) [RETRY #1]
[    162.02] WORKER2  | RECV      | INFO    | Task 0222 received (key=2081, queue:2/10)
[    163.27] WORKER2  | PROC      | FAIL    | Task 0208 FAIL (proc=1.25s, wait=0.00s)
[    166.23] WORKER2  | PROC      | SUCCESS | Task 0222 SUCCESS (proc=2.95s, wait=1.25s)
[    168.76] WORKER2  | PROC      | SUCCESS | Task 0226 SUCCESS (proc=2.54s, wait=2.95s)
[    163.27] WORKER2  | RECV      | INFO    | Task 0226 received (key=f59c, queue:2/10)
[    168.76] WORKER2  | RECV      | INFO    | Task 0230 received (key=9fb1, queue:1/10)
[    170.21] WORKER2  | PROC      | SUCCESS | Task 0230 SUCCESS (proc=1.45s, wait=0.00s)
[    170.21] WORKER2  | RECV      | INFO    | Task 0234 received (key=5263, queue:1/10)
[    170.21] WORKER2  | RECV      | INFO    | Task 0237 received (key=17f1, queue:2/10)
[    170.21] WORKER2  | RECV      | INFO    | Task 0240 received (key=c471, queue:3/10)
[    173.12] WORKER2  | PROC      | FAIL    | Task 0234 FAIL (proc=2.91s, wait=0.00s)
[    175.13] WORKER2  | PROC      | FAIL    | Task 0237 FAIL (proc=2.01s, wait=2.91s)
[    176.76] WORKER2  | PROC      | SUCCESS | Task 0240 SUCCESS (proc=1.63s, wait=4.92s)
[    176.76] WORKER2  | RECV      | INFO    | Task 0245 received (key=19a8, queue:1/10)
[    178.90] WORKER2  | PROC      | SUCCESS | Task 0245 SUCCESS (proc=2.14s, wait=0.00s)
[    178.90] WORKER2  | RECV      | INFO    | Task 0248 received (key=05c7, queue:1/10)
